NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
Kentucky,38.9,22.8,15.9,77.2,86.9,8.1,0.3,84.6,0.2,0.9,0.4,724,510116,5.5,66.5,31.0,94.6,80079,3424795,21.3,0.1,2017
Louisiana,36.8,23.7,14.9,76.3,61.7,32.5,0.2,58.5,0.2,1.6,0.4,836,518902,6.5,65.2,31.8,91.6,79996,3559329,21.4,0.1,2017
Maine,44.6,19.0,20.0,81.0,94.4,1.2,0.4,93.4,0.1,0.2,1.1,806,131372,4.2,73.2,25.0,91.9,89287,1080264,19.0,0.4,2017
Maryland,38.7,22.3,14.9,77.7,54.9,29.9,0.7,50.7,0.9,5.0,0.3,1337,698269,5.2,66.7,20.1,93.9,123678,4679385,18.9,0.2,2017
Massachusetts,39.5,20.0,16.1,80.0,78.5,7.8,0.7,71.5,0.2,3.8,0.3,1208,929089,4.6,62.3,21.2,97.2,127223,5484529,15.5,0.2,2017
Michigan,39.8,21.8,16.7,78.2,78.4,13.8,0.5,75.0,0.3,1.1,0.7,835,1044041,5.9,71.3,26.2,94.8,90138,7782358,23.4,0.4,2017
Minnesota,37.9,23.3,15.4,76.7,82.7,6.5,0.6,79.9,0.2,2.0,0.7,939,583821,3.6,71.6,20.7,95.6,109540,4276588,20.9,1.3,2017
Mississippi,37.5,23.9,15.6,76.1,58.2,38.0,0.1,56.6,0.1,1.0,0.3,742,288505,7.0,68.5,34.1,88.0,71819,2259367,22.0,0.1,2017
Missouri,38.5,22.7,16.5,77.3,82.0,11.4,0.4,79.4,0.2,1.3,0.7,800,724549,4.6,67.0,25.2,90.9,87144,4709306,22.0,0.3,2017
Montana,40.0,21.9,18.1,78.1,88.6,0.4,0.6,86.3,0.3,0.7,1.6,759,118284,3.5,69.2,24.8,91.5,86122,818256,23.5,1.1,2017
Nebraska,36.5,24.7,15.4,75.3,87.3,4.6,0.4,79.0,0.2,2.0,0.5,801,234345,3.3,66.3,21.8,91.7,92849,1440800,23.1,2.1,2017
Nevada,38.0,22.8,15.3,77.2,64.6,9.2,1.2,48.8,4.5,11.1,0.6,1051,451440,5.9,56.6,23.1,88.8,89666,2306248,25.1,0.8,2017
New Hampshire,43.2,19.2,17.6,80.8,93.1,1.7,0.5,90.3,0.2,0.3,0.6,1072,152332,3.8,69.8,17.5,94.2,111903,1082314,17.9,0.3,2017
New Jersey,39.8,22.0,15.7,78.0,67.9,13.5,0.6,54.8,1.2,6.0,0.1,1284,1105474,5.3,63.8,21.2,92.3,128266,7018171,16.3,0.2,2017
New Mexico,37.7,23.5,16.8,76.5,75.8,2.1,0.5,37.4,0.3,7.7,0.9,813,217299,6.6,67.9,28.8,90.9,76126,1589960,24.0,0.3,2017
New York,38.7,20.9,15.9,79.1,63.1,15.8,0.6,55.1,0.6,8.9,0.3,1226,3184751,5.5,53.8,24.5,94.3,113760,15671619,15.4,0.2,2017
North Carolina,38.8,22.4,15.9,77.6,68.8,21.5,0.4,63.0,0.2,3.0,0.4,861,1248740,5.3,65.4,25.8,89.3,88118,7878846,21.3,0.2,2017
North Dakota,35.4,22.9,14.9,77.1,86.6,3.1,0.4,84.4,0.4,1.1,0.9,785,106206,2.9,63.4,22.7,92.5,100402,575151,22.4,1.0,2017
Ohio,39.3,22.3,16.6,77.7,81.3,12.4,0.4,78.9,0.2,0.9,0.4,772,1481880,5.2,65.8,25.4,94.0,88326,9047437,20.2,0.2,2017
Oklahoma,36.6,24.5,15.3,75.5,72.2,7.3,0.4,65.6,0.2,2.7,4.8,780,452404,5.4,65.5,27.9,85.8,80270,2953147,23.3,0.2,2017
Oregon,39.3,21.1,17.1,78.9,84.4,1.9,1.2,75.6,0.5,3.0,1.6,1079,562264,5.1,62.8,25.8,93.2,94331,3266071,25.2,0.9,2017
Pennsylvania,40.8,20.8,17.8,79.2,80.7,11.2,0.4,76.4,0.2,1.9,0.3,893,1428017,5.3,68.3,25.6,94.5,98834,10134279,15.8,0.1,2017
Rhode Island,39.5,19.5,16.7,80.5,81.8,6.3,0.6,72.1,0.3,4.5,0.4,941,150957,5.7,60.8,22.7,95.4,104534,849171,16.9,0.1,2017
South Carolina,39.4,21.9,17.2,78.1,67.3,27.0,0.3,63.6,0.3,1.6,0.4,848,530656,5.8,68.7,26.9,89.0,83365,3890364,20.3,0.1,2017
South Dakota,36.9,24.5,16.3,75.5,84.7,2.0,0.3,82.3,0.2,0.6,1.3,722,102898,3.5,67.7,22.9,90.9,88962,653291,22.0,1.7,2017
Tennessee,38.6,22.5,15.9,77.5,77.7,16.7,0.4,73.9,0.2,1.3,0.4,833,805441,4.9,65.4,26.5,90.5,85424,5189066,20.8,0.1,2017
Texas,34.7,26.0,12.2,74.0,73.9,12.1,0.5,41.9,0.5,5.9,0.5,987,3397060,5.1,62.0,24.9,82.7,94376,20855881,21.7,0.2,2017
Utah,31.0,29.8,10.8,70.2,85.7,1.2,0.8,78.3,0.3,5.8,0.5,986,276654,3.6,69.9,26.4,90.8,96840,2172801,25.7,4.5,2017
Vermont,42.6,18.9,18.8,81.1,94.2,1.3,0.5,92.8,0.1,0.2,0.6,950,72542,3.8,69.5,22.2,95.4,93647,505237,16.8,0.5,2017
Virginia,38.2,22.1,15.0,77.9,67.5,19.2,1.1,61.7,0.8,2.6,0.4,1179,972670,4.6,66.6,22.7,91.2,113234,6488680,19.0,0.2,2017
Washington,37.7,22.2,15.1,77.8,75.4,3.7,1.6,68.6,1.6,4.6,1.3,1216,998500,4.9,62.8,22.5,93.9,110005,5710964,23.6,0.9,2017
West Virginia,42.4,20.6,19.3,79.4,92.8,4.0,0.2,92.0,0.2,0.7,0.3,690,160122,6.7,72.5,33.7,93.9,71551,1440967,18.6,0.1,2017
Wisconsin,39.5,22.1,16.5,77.9,85.3,6.4,0.4,81.2,0.1,2.2,0.6,819,736653,3.5,66.6,23.2,94.6,93538,4513009,20.3,1.0,2017
Wyoming,37.5,23.8,15.6,76.2,91.2,1.0,0.4,84.0,0.2,1.7,1.0,832,58977,5.2,70.8,23.0,87.7,90001,437821,25.3,1.5,2017
