NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
Nevada,41243,22.8,15.3,77.2,0,2998039,0.3,10.6,1.3,4.5,0.7,1051,451440,5.9,56.6,23.1,88.8,89666,24.9,25.1,0.3,2017
New Hampshire,30525,19.2,17.6,80.8,0,1342795,0,3.3,0.1,0.2,0.0,1072,152332,3.8,69.8,17.5,94.2,111903,36.9,17.9,0.9,2017
New Jersey,192186,22.0,15.7,78.0,0,9005644,0.0,10.7,0.2,1.2,0.0,1284,1105474,5.3,63.8,21.2,92.3,128266,39.7,16.3,1.1,2017
New Mexico,37554,23.5,16.8,76.5,0,2088070,0,2.1,9.6,0.3,0.1,813,217299,6.6,67.9,28.8,90.9,76126,27.1,24.0,0.3,2017
New York,444982,20.9,15.9,79.1,0,19849399,0.0,9.7,0.4,0.6,0.0,1226,3184751,5.5,53.8,24.5,94.3,113760,36.0,15.4,0.9,2017
North Carolina,178558,22.4,15.9,77.6,0,10273419,0.0,3.5,1.2,0.2,0.1,861,1248740,5.3,65.4,25.8,89.3,88118,31.3,21.3,0.4,2017
North Dakota,16780,22.9,14.9,77.1,0,755393,0,2.1,5.5,0.4,0.1,785,106206,2.9,63.4,22.7,92.5,100402,30.7,22.4,0.3,2017
Ohio,248880,22.3,16.6,77.7,0,11658609,0.0,2.8,0.2,0.2,0.0,772,1481880,5.2,65.8,25.4,94.0,88326,28.0,20.2,0.7,2017
Oklahoma,68410,24.5,15.3,75.5,0,3930864,0.0,2.9,7.7,0.2,0.2,780,452404,5.4,65.5,27.9,85.8,80270,25.5,23.3,0.2,2017
Oregon,79045,21.1,17.1,78.9,0,4142776,0.0,5.9,1.2,0.5,0.4,1079,562264,5.1,62.8,25.8,93.2,94331,33.7,25.2,0.4,2017
Pennsylvania,330286,20.8,17.8,79.2,0,12805537,0.0,4.1,0.2,0.2,0.0,893,1428017,5.3,68.3,25.6,94.5,98834,31.4,15.8,0.6,2017
Rhode Island,23359,19.5,16.7,80.5,0,1059639,0,4.5,0.5,0.3,0.1,941,150957,5.7,60.8,22.7,95.4,104534,33.5,16.9,0.9,2017
South Carolina,83381,21.9,17.2,78.1,0,5024369,0,2.0,0.3,0.3,0.1,848,530656,5.8,68.7,26.9,89.0,83365,28.0,20.3,0.2,2017
South Dakota,19480,24.5,16.3,75.5,0,869666,0,1.7,8.7,0.2,0.1,722,102898,3.5,67.7,22.9,90.9,88962,28.1,22.0,0.2,2017
Tennessee,113033,22.5,15.9,77.5,0,6715984,0.0,2.3,0.2,0.2,0.1,833,805441,4.9,65.4,26.5,90.5,85424,27.3,20.8,0.6,2017
Texas,374415,26.0,12.2,74.0,0,28304596,0.0,5.6,0.5,0.5,0.1,987,3397060,5.1,62.0,24.9,82.7,94376,29.6,21.7,0.5,2017
Utah,37128,29.8,10.8,70.2,0,3101833,0.1,3.6,1.1,0.3,0.9,986,276654,3.6,69.9,26.4,90.8,96840,34.6,25.7,0.2,2017
Vermont,13295,18.9,18.8,81.1,0,623657,0,2.3,0.4,0.1,0.0,950,72542,3.8,69.5,22.2,95.4,93647,38.3,16.8,0.4,2017
Virginia,146347,22.1,15.0,77.9,0,8470020,0.0,7.9,0.3,0.8,0.0,1179,972670,4.6,66.6,22.7,91.2,113234,38.7,19.0,0.9,2017
Washington,127629,22.2,15.1,77.8,0,7405743,0.1,10.9,1.3,1.6,0.7,1216,998500,4.9,62.8,22.5,93.9,110005,35.5,23.6,0.5,2017
West Virginia,38332,20.6,19.3,79.4,0,1815857,0,1.0,0.1,0.2,0.0,690,160122,6.7,72.5,33.7,93.9,71551,20.2,18.6,0.4,2017
Wisconsin,126413,22.1,16.5,77.9,0,5795483,0.0,3.3,0.8,0.1,0.1,819,736653,3.5,66.6,23.2,94.6,93538,30.4,20.3,0.3,2017
Wyoming,10495,23.8,15.6,76.2,0,579315,0,1.5,2.4,0.2,0.0,832,58977,5.2,70.8,23.0,87.7,90001,27.6,25.3,0.1,2017
