NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate
Oregon,39.6,20.8,17.6,79.2,83.9,2.0,1.2,75.1,0.6,3.3,1.6,1130,582062,5.0
Pennsylvania,40.8,20.7,18.2,79.3,80.1,11.2,0.4,75.9,0.2,2.4,0.3,927,1468239,4.9
Rhode Island,40.0,19.3,17.3,80.7,80.7,6.7,0.7,71.4,0.2,5.7,0.5,998,145995,5.5
South Carolina,39.7,21.7,17.7,78.3,67.0,26.6,0.3,63.5,0.3,1.8,0.3,892,524808,5.3
South Dakota,37.2,24.3,16.6,75.7,84.0,2.2,0.2,81.5,0.2,0.7,1.3,734,100296,3.0
Tennessee,38.9,22.3,16.3,77.7,77.3,16.8,0.4,73.6,0.2,1.5,0.4,861,795288,5.5
Texas,34.9,25.8,12.5,74.2,73.5,12.3,0.5,41.4,0.5,6.0,0.5,1046,3467371,4.9
Utah,31.0,29.5,11.1,70.5,85.7,1.3,0.9,77.8,0.3,5.4,0.5,1043,278450,3.2
Vermont,43.1,18.4,19.8,81.6,94.1,1.2,0.5,92.6,0.2,0.4,0.7,969,67179,3.8
Virginia,38.3,22.0,15.5,78.0,67.4,19.2,1.2,61.3,0.9,2.5,0.4,1215,1008122,4.2
Washington,37.7,22.1,15.4,77.9,74.8,3.9,1.9,67.8,1.3,4.6,1.2,1316,1019857,4.3
West Virginia,42.8,20.1,20.0,79.9,93.0,3.8,0.3,92.0,0.1,0.4,0.3,735,163337,5.8
Wisconsin,39.6,21.9,17.0,78.1,85.3,6.4,0.5,81.0,0.2,2.1,0.5,847,734496,3.2
Wyoming,38.5,23.0,16.7,77.0,91.5,0.6,0.4,84.0,0.1,1.5,0.9,818,61248,3.9
